,StateCode,WardCode,WardName,LGACode,Urban,Source,Timestamp,GlobalID,AMAPCODE,X.x,WardName.x,urbanPercentage,classification_20,classification_30,classification_50,classification_75,X.y,WardName.y,median_rank,ranks,AdminLevel3,Population
98,TA,TRSLAU01,Abbare,35010,No,INEC,3/16/2019,0f20e83f-38f2-4b77-8d3a-020c44144975,NIE TRS LAU,1,Abbare,0,Rural,Rural,Rural,Rural,167,Abbare,166,167,Abbare,14690
85,TA,TRSKRM01,Abong,35009,No,INEC,3/16/2019,120e76c5-074c-4951-a058-2b4aaf05e2b6,NIE TRS KRM,2,Abong,0,Rural,Rural,Rural,Rural,136,Abong,132,136,Abong,13224
23,TA,TRSDGA01,Akate,35003,No,INEC,3/16/2019,1559930c-b9cf-44a0-a37c-fe9ae681691b,NIE TRS DGA,3,Akate,0.06097465,Rural,Rural,Rural,Rural,55,Akate,67,55,Akate,36469
142,TA,TRSWKR01,Akwana,35014,No,INEC,3/16/2019,9ed34a9e-e4ae-48eb-8cc2-9c352db3aaf6,NIE TRS WKR,4,Akwana,0.221285864,Rural,Rural,Rural,Rural,32,Akwana,43,32,Akwana,26147
89,TA,TRSKRM02,Akwento Boko,35009,No,INEC,3/16/2019,1d839af8-5247-4592-857f-7c23cb154804,NIE TRS KRM,5,Akwento Boko,0,Rural,Rural,Rural,Rural,165,Akwento Boko,158.5,165,Akwento Boko,20370
9,TA,TRSARD01,Alin Gora,35001,No,INEC,3/16/2019,78cf859a-3e12-49a5-a15d-bdd6ca72bcf9,NIE TRS ARD,6,Alin Gora,0,Rural,Rural,Rural,Rural,166,Alin Gora,161,166,Alin Gora,9428
3,TA,TRSARD02,Ardo Kola,35001,No,INEC,3/16/2019,59348a47-170b-4962-a631-c26e69c047da,NIE TRS ARD,7,Ardo Kola,0,Rural,Rural,Rural,Rural,58,Ardo Kola,69.5,58,Ardo Kola,10614
91,TA,TRSKRM03,Asha,35009,No,INEC,3/16/2019,76db351f-61f3-4a05-8b7a-fcfc61eacef6,NIE TRS KRM,8,Asha,0,Rural,Rural,Rural,Rural,150,Asha,142,150,Asha,14356
94,TA,TRSKRM04,Ashuku,35009,No,INEC,3/16/2019,c6ae486d-06a9-4f59-ac50-d7548e216f8f,NIE TRS KRM,9,Ashuku,0.193424812,Rural,Rural,Rural,Rural,148,Ashuku,139.5,148,Ashuku,12900
24,TA,TRSDGA02,Asibiti,35003,No,INEC,3/16/2019,dd33a313-08bd-4cef-a3a3-90e7df7ece06,NIE TRS DGA,10,Asibiti,0.066998779,Rural,Rural,Rural,Rural,45,Asibiti,58.5,45,Asibiti,37063
145,TA,TRSWKR02,Avyi,35014,No,INEC,3/16/2019,f91020fd-eaa8-4152-962e-08bd9ce825a2,NIE TRS WKR,11,Avyi,2.479691912,Rural,Rural,Rural,Rural,12,Avyi,22.5,12,Avyi,32022
78,TA,TRSKLD01,Bachama,35008,No,INEC,3/16/2019,518af666-53eb-40e9-a3d8-0ff5b1b9558a,NIE TRS KLD,12,Bachama,0,Rural,Rural,Rural,Rural,56,Bachama,67.5,56,Bachama,25900
